query_id,query,category,pipeline,reformulated_query,recall_at_k,mrr,answer_overlap,faithfulness
q001,something weird in my network traffic,vague,baseline,,0.0,0.0,0.04950495049504951,0.16666666666666666
q001,something weird in my network traffic,vague,enhanced_expansion,"I'm detecting unusual patterns of network activity that may indicate potential security threats, such as lateral movement, port scanning, command and control beaconing, or data exfiltration.",0.0,0.0,0.06097560975609756,0.3333333333333333
q001,something weird in my network traffic,vague,enhanced_hyde,"An unusual pattern of network traffic may indicate a potential security breach. One common indicator of suspicious activity is an unexpected spike in DNS (Domain Name System) queries, particularly those related to unknown or unfamiliar domains. This could be a sign that malware or a malicious actor is attempting to evade detection by using alternative domain names for command and control communications. Monitoring network traffic and analyzing DNS query patterns can help identify potential security threats and inform incident response efforts.",0.0,0.0,0.03529411764705882,0.0
q001,something weird in my network traffic,vague,enhanced_stepback,What unusual patterns or anomalies are showing up in the data being transmitted over your network?,0.0,0.0,0.04878048780487805,0.42857142857142855
q001,something weird in my network traffic,vague,enhanced_decomposition,"Is there any unusual pattern or anomaly in the data being transmitted over your network? | Are you seeing any unfamiliar IP addresses or devices connected to your network that shouldn't be there? | Can you describe what exactly is ""weird"" about the traffic - is it a specific type of data, protocol, or behavior?",0.0,0.0,0.039603960396039604,0.36363636363636365
q002,How does Pass-the-Hash work and how can I detect it?,specific,baseline,,0.0,0.0,0.10619469026548672,0.058823529411764705
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_expansion,"Can you explain to me how Pass-the-Hash attacks work, specifically the use of compromised credentials to authenticate and execute malicious commands, and what types of network traffic or system logs might indicate a potential Pass-the-Hash attack, such as unusual login attempts, elevated privileges, or suspicious command execution, similar to T1055 (Abusing Credentials) and T1071 (Command and Control)?",0.0,0.0,0.05217391304347826,0.0625
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_hyde,"Pass-the-Hash (PTH) is a type of attack where an attacker uses stolen credentials to obtain a valid hash of a target user's password. The attacker then passes this hash to a malicious service, such as a web application or remote access protocol, which verifies the hash against its own stored hashes. This allows the attacker to gain unauthorized access to the system without needing to know the actual password. Detection of PTH attacks can be challenging, but it is possible through monitoring of login attempts and network traffic for suspicious patterns, such as multiple failed logins from different locations or unusual protocol interactions.",0.5,1.0,0.1111111111111111,0.35294117647058826
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_stepback,How do attackers use stolen credentials to gain unauthorized access to systems?,0.0,0.0,0.11009174311926606,0.18181818181818182
q002,How does Pass-the-Hash work and how can I detect it?,specific,enhanced_decomposition,"What is Pass-the-Hash, and how does it work? | How do attackers use Pass-the-Hash to gain unauthorized access to systems? | What are some common indicators that a system has been compromised using Pass-the-Hash?",0.0,0.0,0.10576923076923077,0.13333333333333333
q003,my server is acting slow and there are weird processes,vague,baseline,,0.0,0.0,0.07865168539325842,0.1111111111111111
q003,my server is acting slow and there are weird processes,vague,enhanced_expansion,"Is the slowdown on our server indicative of a potential insider threat, such as a compromised process running in the background, possibly related to a lateral movement attack (T1566) or a malicious activity like data exfiltration (T1071)?",0.0,0.0,0.0851063829787234,0.1
q003,my server is acting slow and there are weird processes,vague,enhanced_hyde,"If your server is experiencing slow performance and exhibiting unusual processes, it's possible that malware or unauthorized software has been installed. Malicious code can consume system resources, causing slowdowns and disrupting normal operation. To investigate further, review the list of running processes using tools like Task Manager or ps aux, and look for suspicious or unfamiliar entries. Additionally, run a full system scan with an anti-malware tool to detect and remove any malicious software that may be present.",0.0,0.0,0.05,0.4
q003,my server is acting slow and there are weird processes,vague,enhanced_stepback,Is your server experiencing performance issues due to unauthorized or unexpected system activity?,0.0,0.0,0.06896551724137931,0.3333333333333333
q003,my server is acting slow and there are weird processes,vague,enhanced_decomposition,What could be causing your server to act slowly? | What kind of processes do you see running on your server that seem unusual or unexpected? | Are these strange processes consuming a lot of system resources?,0.0,0.0,0.05172413793103448,0.3333333333333333
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,baseline,,0.0,0.0,0.0,0.0
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_expansion,"What are the signs that an attacker has exploited a vulnerability in our Java logging system, potentially allowing unauthorized access to sensitive data or executing malicious commands, similar to the exploitation seen in the Log4Shell (CVE-2021-44228) vulnerability?",0.0,0.0,0.0,0.0
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_hyde,"Indicators of compromise (IoCs) for Log4Shell (CVE-2021-44228) include unusual login activity, failed authentication attempts, and unexpected changes to log files or configuration files. Additionally, IoCs may include the presence of the ""jndi"" protocol in log entries, particularly those that reference a URL with a ""ldap://"" scheme. Malicious actors may also attempt to exploit Log4Shell by injecting malicious JSP (JavaServer Pages) code into web applications, which can be detected through unusual patterns of HTTP requests or responses.",0.0,0.0,0.0,0.3333333333333333
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_stepback,What are the signs that a vulnerable Java logging library has been exploited to gain unauthorized access or control?,0.0,0.0,0.0,0.0
q004,What are the indicators of compromise for Log4Shell (CVE-2021-44228)?,specific,enhanced_decomposition,What is Log4Shell and how does it work? | What types of data or systems might be vulnerable to Log4Shell attacks? | How can an organization determine if they have been affected by Log4Shell?,0.0,0.0,0.0,0.0
q005,users complaining about being locked out,vague,baseline,,0.0,0.0,0.03389830508474576,0.0
q005,users complaining about being locked out,vague,enhanced_expansion,"Are there any instances of unauthorized account lockouts that may indicate a phishing attack, credential stuffing, or password cracking attempt, potentially exploiting the use of weak passwords or multi-factor authentication bypass techniques?",0.5,1.0,0.1509433962264151,0.75
q005,users complaining about being locked out,vague,enhanced_hyde,"If users are experiencing issues with being locked out of their systems, it is essential to investigate and address potential causes such as incorrect passwords, account lockout policies, or brute-force attack attempts. Regularly review system logs to identify patterns of failed login attempts, and consider implementing additional security measures such as password expiration policies, multi-factor authentication, or rate limiting to prevent unauthorized access. Additionally, ensure that the organization's account lockout policy is properly configured to balance security with user convenience, allowing for a reasonable number of failed login attempts before locking out the account.",0.25,1.0,0.10416666666666667,0.3333333333333333
